"","id","year","rank","player","startgg","score","change","main","attendance","worst_uf","best_uf","winrate","top100_winrate","major_t100_winrate","ranked_wins","avg_rank_win","avg_rank_loss","avg_major_placement","major_top8","major_wins","major_attendance","controller","trimmed_placement","last_year_wins","avg_last_year_wins","last_year_winrate","last_year_losses","avg_last_year_losses","last_year_top10_opponents","last_year_winrate_top10","last_year_top20_opponents","last_year_winrate_top20","avg_supermajor_placement","supermajor_top8","supermajors_won","supermajor_attendance","list_edition","image_base64","player_code"
"1",1,2016,1,"Armada","Armada",100,0,"Peach",13,4,0,0.912698412698413,0.830769230769231,0.867647058823529,54,18.1481481481481,3.63636363636364,3.08333333333333,11,6,12,"GCC",1.81818181818182,57,21.6140350877193,0.904761904761905,6,3.5,29,0.793103448275862,38,0.842105263157895,2.2,5,2,5,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAADKUlEQVRIiZWWIXDjOhRFTzo7GbPErIaC/iwpsmHKDA1juGW/LMta2LK/LGUtjNmarVkEYxazNRR0WBKWKckCWbLTtNu/b8Yz0ZN8r+57V3J6V1dX/E0MBv3jfv/a+7/rLz4DGwz6x+54WYe8zXXHf0UAYAAN+NvcZ+9/+WyBAeTXPfzzcJpr4tpbffjuhwrM7q6Tb23y1/3ZOjP/kZp3FQwG/ePzXcFGAXjATE90FJiIag98yKvgXQP03rrIgIsw0olaotShHQNqlQNQllMAvGHKpYAs00RdkgsDah4L7iwsoBCOHjc5EUYI4TAapQAEEwcRRsQxPEyLEwPYHjzfFSx/umfgSh3Am5zWpVGl51P9u5YI4XApIPILu/RiMOgfI78gy5qMAT8kUMuzmp+o6oRSB0sKmmQw6B8vAMIRzP5ra2zAsyy2O+aQ6KcDmL7AYdsSbhTtRo0CgEsB1aopTQe8WqeU5dSWoFuespziuOCPdaPxJgQThzjWGw5HDcF+/9q7eQzwxTeUdE/A5SbAH4VsFJbE7FypFCE0+EY1KpteXQr9QGPTru9XpZbtuE3Zmp4o6Z5Id4U+vTKbAzAapQjh2D7cPGq7fjF2unkM+DcSHLYpjqslVquI28eIyC+YzbcnBN9vXfIqIPILhJgiwojsadhte9uDh2nB8rkknj0x/drWD4BJTl4F7FRlUztVkVcBTPKm4amdq9Yp3jA9dVGQRCBquyhIOo4C5PqWWq3tuFZr5PoWgCie6w05C+JYWyiYOMxmTqtArXJQ3lmdPTFmeQfHbYQnxjrZWPW4jfgxrfAnCW+jkAcKqXthXZRlMVnW3C+1JEgiKtleyUPh65cX+QmRLd0hsaBSwn3aNBlgv3/tPeXqCAERKdDcPbjsVGXBTfl29ZhdrRVVMiRIIopFzqoEuQkwmLZEJrHfv/bySqtBeQQTh0qGVFJbtXhxYexTyZCh94DM5tbvq7K9Sc9u0240ajRJczp3Sjc0+LqFddWoaD8+xSI/u6ZNnH0PTJjzsXwuub4ZMb9LbEN3quLle2jPwUfgfyToEu33r733Pokm/6e/Mb8B9XW+BYHG1dAAAAAASUVORK5CYII=","https://www.supermajor.gg/melee/player/Armada?id=S6189"
"2",2,2016,2,"Hungrybox","Hungrybox",98.92,0,"Jigglypuff",26,4,3,0.860606060606061,0.747252747252747,0.825,68,17.3235294117647,4.69565217391304,2.2,20,7,20,"GCC",2.05263157894737,69,25.0724637681159,0.784090909090909,19,6.84210526315789,36,0.611111111111111,54,0.703703703703704,3,5,1,5,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAAC20lEQVRIiY2WL3yjSBTHv3OfEzkHLpVTN3XEFck6ZNYtsucSua6RXXd1RFZyblfGbWTiiOs4RoJjZB0n6MxBSPPpzw083u/93p95iNvbWz6Lruu6S8+FEOKjb/44d+BwyXmePlAdSqqqoqoqyry4Sjwi6LquK1aPVIeSMi+4RBTKObbU/hwslCf5lAKA23hBa2uqqqJYPXqiPH2gNQ1av0Jje+N5ADCyOw9MuBo4Bdn2BwCpUuQvRe/keMIYQ1O3tKZBxQqZJJ6AxmL2e5q6Rak7ABbrDCGE+POaPFtqgoUCKZH3EbKx7J626IMmDG76d/MAW2rktyWysawfsuspctE/rTYE4Wz8Yh6QblYAaP2KLTV2d6S1tU9bliyvE6RKTYxcGoYkvh7vMPs9x+InADutfeuOavD76R+AXr6LXkowhnUUeGe5DXtHT9tJHCpWfNl89wSTGoTBDQC2fesftH1b5jMJgMi+sI0juq8b0vxxVGCA52UEm7MUdV3XpUpN0+JIzU+Ozy/cnfYQR3A4cVeXPmXy25J4pilWCXttSF9/++HzClIZf0jA4UTMCWZRf46ji2bbh78hjkjUaqwA+in9COr748ipilMSJcc2cdrbneHqHHgB9V/EcerPiZJ9oQcxJUqy1wYVp+QzibtCJwStrX2hh3h9C7HtWz9c7x27W79P/WZFPpcQycl3nqA1DQDzm/CiCtu+9a1rTN+6QJql/3fbB/A12JnDSMUQQTgjWKipMyn9dTEKZnccEwghxE5rWtP4fp5gHhCk937wRmgsx+cXf3QX3UiBU+FIhiqMMZh/f3mi46Hs94Ixnqw1zShyBzFcmW7gUhkTyvmkHk6dUne0tkZK6dPW2hp90Kx3L6MVKs538vlUX7z4BnBBNHVLtv0x2c8TAkdSrPqhKfa/rk85fWqHN+hVAqcgS5bcZ1/7DnlfNENnTuVQ4acUXPtD8B8JIT77C/MfOKidnNT2bokAAAAASUVORK5CYII=","https://www.supermajor.gg/melee/player/Hungrybox?id=S1004"
"3",3,2016,3,"Mang0","Mang0",97.81,1,"Fox",18,8,2,0.806201550387597,0.738636363636364,0.818181818181818,65,21.2307692307692,5.60869565217391,3,15,4,16,"GCC",2.33333333333333,71,17.9014084507042,0.747368421052632,24,5.45833333333333,53,0.622641509433962,70,0.671428571428571,4.4,4,1,5,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAADNUlEQVRIiY2WIYzjRhSGv2wDJswBJ2UqLZhKW8kBlbzgQECBQSvlmAMqJaAgcJdtoUErueyWXWCgTypIQKUNNDRcg5VscMCVChxw0hpU2gGVUuDYib1Orr9keTzvzf/em/fejDs04FhiV47Xke405W0o17TpXzQVF8s7XHf2f3irNTfj0/KLY8VVuKwErjurRXOK3Pcko5E8qdNtIy/he5KZm500UkQanPOhMACAcECvq09rbLNNBvjeR/zEoS9NnrOEvjQBeM4SVonAtc7yc9HmvVQDAAbmEICZueYx3JBqUdO7Vgo/cQjD7AsRNLwfmEMQDtvII94vto0MXjbkfDjvcquBI5RebyOPeHUP0Eji7+RyyotlA9AzU4xMsti0R3EoU+FUw20SnyAvYGQfUSpHmTYDc0gup/iebK26bult6Xm0CXh+9E+Sl9CBi7Drc0U/iN1xw3XXke4wv98tlndk6bYiL5HLaWX8mPxgxKvmh5M72Ny/jgDgg7fENnOCxMA2cwDCMKN/vQXgRYyqRWocg16jAxcduBj7+UKnbqDjWGJnTu5QQpOmKQC2sakUgsQgSXPM0Zj5zZzbXwqPLSXx3k/Qgbt3ZIa7jAEQWVSdS1+Zsvvrm+GIby6vkPvH/GHO199ectX/i67+zNsrUOIT/e9+Qnz/M0L/Q/T0RPLnH7wZ/ojOntgkl8jhW2RX8/nvTyTbf387bFGW8AgooelLE2XaoHN01kh0ess7OeVBaBBFtFINsMZLhknMQ6BJs7A9B0romiBNDdpqKF7do4DZXBYJ3pf3wHKYm2sileMuYxyi3TrSncpAqsUrI2GYVRHkclrkxz2qqKPeKb+lirHUMyiJw2b3qpPbIGyPQZPsBMJEEaXFCSs46uTSe8s6bMxoVGyDDlwm133ciWJy3T9rwHF6WPv8wL5Mm0rv/RUyvSUMMxb7ijWVgTvv4S1fmMzeAWCYRVTK3Le0XrNNYm7mh17ott67s8muJPW9HmIcH2RLVR3n6KJitlHxfggOOSx5azkoo/E9WSdtoHl0pKlBT4ds/EWNHKAalPfrOWIAd6KqcZLmNVnbbtQMnGU+gS/92vwHxn9Yx2F5NgsAAAAASUVORK5CYII=","https://www.supermajor.gg/melee/player/Mang0?id=S1000"
"4",4,2016,4,"Mew2King","Mew2King",96.43,1,"Marth",19,5,8,0.843971631205674,0.741176470588235,0.775280898876405,63,22.984126984127,7,4,15,1,17,"GCC",3.6875,63,25.5079365079365,0.707865168539326,26,12.4615384615385,32,0.46875,51,0.607843137254902,5.8,3,0,5,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAACsUlEQVRIiZWVLXTjOBSFv/YsUFnDbGiostJAQS9L2AQWdtjQwtBhHViYshYKGpqWzYOCMnNYxTLAkSLbaWb3npMTW9a7P8+WdMUF3GpzuPR8ir00V9Oxfy6RllpzW92zUDf04ZNSLzFVCUDjPF5a9u4jLz9MhUYCt9ocKmNQqmChbgCoTT1z+lhZoIZqzc5m9dU9IXQ4OESRJDAlj8S2sajqHgAvLQA7YKEsTlpUWaJUQamXeGlRqhiZuc7JgURuG8vOvqWJpipZqJv0i6KuaQihw0vLpl4TQoeuv6VWX0eC4D1KFfThk5f3X/Thk737oA+fI0fumCK2JNaG0LGzb1T3q3GCW20Opdaospz1OkfjfLr2e4epyvSCvQjB+5R01qIplCoQ+zoa89Li924k6EUumkoC+cQQOkq9HN3Hlxu8T2591qocedJRgtjHsetT9L374FH3aRyg1sNaSXOPZnKe6ynZ1J0XQewrXgRdLdK42Fceap3ut6simYn/SWC7Ktiuxt8vDO4yDsxmk+7ffmiMWeJFzqQ4tTwlyN3t3UcqWuoikTa7HQ+1Hsg3G5pmSPpcn+pz90kgJ/cieBGaxxIvwtN7hz0aWv8UxPUYswTvWP+UNJ7XzwTE9bPWxDZsn0+refv8xtrcQVml53E858g3uysYtortquCXLPAibFcFa3NHsTR8Ce/onBvmeMfi35ezAukdPL13/C8cU0ShSDw9E86uZIDfzoN3Xz0GoKgqOueGuV9gduBEiOu5c44iOs2RuY5zv8IoQf5Nw5Cia5tZUe76t/M8vXdnj8uzCXT9yE5aNqrhxQoPNUAzaoe4Hl0t0vUlJNV4QJgfz1milsoNW4Ixpw0wCr1Ywcr5w34mEEV0/W20mwIo+52HWnN33Ov/K/lMIBeZYno+wN/JAf4AUoinewF14LoAAAAASUVORK5CYII=","https://www.supermajor.gg/melee/player/Mew2King?id=S1003"
"5",5,2016,5,"Leffen","Leffen",95.76,-2,"Fox",11,5,5,0.910714285714286,0.767441860465116,0.85,33,26.6060606060606,14.5,6,5,2,7,"GCC",4.16666666666667,29,26.6896551724138,0.725,11,16.4545454545455,13,0.538461538461538,21,0.619047619047619,7.33333333333333,2,1,3,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAADNUlEQVRIiY2WIYzjRhSGv2wDJswBJ2UqLZhKW8kBlbzgQECBQSvlmAMqJaAgcJdtoUErueyWXWCgTypIQKUNNDRcg5VscMCVChxw0hpU2gGVUuDYib1Orr9keTzvzf/em/fejDs04FhiV47Xke405W0o17TpXzQVF8s7XHf2f3irNTfj0/KLY8VVuKwErjurRXOK3Pcko5E8qdNtIy/he5KZm500UkQanPOhMACAcECvq09rbLNNBvjeR/zEoS9NnrOEvjQBeM4SVonAtc7yc9HmvVQDAAbmEICZueYx3JBqUdO7Vgo/cQjD7AsRNLwfmEMQDtvII94vto0MXjbkfDjvcquBI5RebyOPeHUP0Eji7+RyyotlA9AzU4xMsti0R3EoU+FUw20SnyAvYGQfUSpHmTYDc0gup/iebK26bult6Xm0CXh+9E+Sl9CBi7Drc0U/iN1xw3XXke4wv98tlndk6bYiL5HLaWX8mPxgxKvmh5M72Ny/jgDgg7fENnOCxMA2cwDCMKN/vQXgRYyqRWocg16jAxcduBj7+UKnbqDjWGJnTu5QQpOmKQC2sakUgsQgSXPM0Zj5zZzbXwqPLSXx3k/Qgbt3ZIa7jAEQWVSdS1+Zsvvrm+GIby6vkPvH/GHO199ectX/i67+zNsrUOIT/e9+Qnz/M0L/Q/T0RPLnH7wZ/ojOntgkl8jhW2RX8/nvTyTbf387bFGW8AgooelLE2XaoHN01kh0ess7OeVBaBBFtFINsMZLhknMQ6BJs7A9B0romiBNDdpqKF7do4DZXBYJ3pf3wHKYm2sileMuYxyi3TrSncpAqsUrI2GYVRHkclrkxz2qqKPeKb+lirHUMyiJw2b3qpPbIGyPQZPsBMJEEaXFCSs46uTSe8s6bMxoVGyDDlwm133ciWJy3T9rwHF6WPv8wL5Mm0rv/RUyvSUMMxb7ijWVgTvv4S1fmMzeAWCYRVTK3Le0XrNNYm7mh17ott67s8muJPW9HmIcH2RLVR3n6KJitlHxfggOOSx5azkoo/E9WSdtoHl0pKlBT4ds/EWNHKAalPfrOWIAd6KqcZLmNVnbbtQMnGU+gS/92vwHxn9Yx2F5NgsAAAAASUVORK5CYII=","https://www.supermajor.gg/melee/player/Leffen?id=S4465"
"6",6,2016,6,"Plup","Plup",93.79,1,"Sheik",14,6,2,0.820754716981132,0.704918032786885,0.703703703703704,43,28.3255813953488,8.66666666666667,6.66666666666667,7,0,9,"GCC",5.375,44,25.7954545454545,0.771929824561403,13,13,14,0.571428571428571,28,0.678571428571429,9.66666666666667,1,0,3,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAACxUlEQVRIiZ2WoXPbMBTGf8ntcoY2i6GG6jJ7pC702MZaOOix0f4JG2vh2AITtrCW1bBmNrPZBGtms/lGNKBIsRu7u9tHJFlP3/fe05Pkhff2HXM4u7hQdV7MzhssFn8Wc3Nv/kUuhI+z9jk/DwCoqtr2iywDQMpnNSey/B/yUAgA0jQlShKE8FFqpSajm0qRUis1JDeEpZS277geAH3XUkrJz812MlUnEcyRO65HHEZEYYDjepyLtRWtqpogjiajmNyDac9123fCtgChEFRVTd88T1FNC5x6rtMRh9pzE0FR1ta+ApCnIpMCVVUfCCNNcEjHEIY8aD8RuMAlyKbjRsajihoJKLVSmyTnq/QpDiGHQlDJMXnftQCkQQo4OOJcf7+suLnWPEbEVpFSK9X+yOm99XGBrHDaxhJ/b+5t/8v648gW9xG691BkeJ9jW1HLOXLcR5zwGaJkROq4HmmQjm2HiBJuRW4ranl2caGAU29Ae3RYtN/Bfgfe/hKnbU5tB/3rK6zIss4LNkk+Tw5k2+N95IYu+x1QZGPPB/ZDLAGSUOcb95G+9KF7r8doouu7gDSLRwv3uwHxwam+9E+ERye5L33dGnJg8+04n2Yxct+RZjGtHNtRZKOC8PQxOpbpcNKibbiRMbcinwy/f2pw2obe83GArh4slS8iMJPDdr+D9kdOn94jrlzr2SbJ7bj31tPOMYggK/U+DMmzUvdz/xdfEgG05Il2Kw4Em4ecSF5aouGaVsKN1GdhuVj8WaRZTFYeDQySUJMZxIGgkg2bB52yAvdVcnhxkkGHb/N49UT6YVw9Bnkt+Z1FRHQAiDu9V0NymyLQ76pSK9VK+M4VAM52S9+1o/vfoJINAvi512Mh/BPyUQQGJpIg1jfp3D1vECX6Kpl70SafTCNkRKZg3ozt/QN1Xsz+WcwKGJFX3Tckr/y2/AVgCHmc1Tx7LQAAAABJRU5ErkJggg==","https://www.supermajor.gg/melee/player/Plup?id=S15990"
"7",7,2016,7,"SFAT","SFAT",92.19,6,"Fox",28,9,4,0.814814814814815,0.694214876033058,0.711111111111111,84,35.7738095238095,16.2432432432432,8.52941176470588,12,0,17,"GCC",7.5,76,34.9605263157895,0.64957264957265,41,15.9756097560976,39,0.333333333333333,61,0.491803278688525,11.8,3,0,5,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAADNUlEQVRIiY2WIYzjRhSGv2wDJswBJ2UqLZhKW8kBlbzgQECBQSvlmAMqJaAgcJdtoUErueyWXWCgTypIQKUNNDRcg5VscMCVChxw0hpU2gGVUuDYib1Orr9keTzvzf/em/fejDs04FhiV47Xke405W0o17TpXzQVF8s7XHf2f3irNTfj0/KLY8VVuKwErjurRXOK3Pcko5E8qdNtIy/he5KZm500UkQanPOhMACAcECvq09rbLNNBvjeR/zEoS9NnrOEvjQBeM4SVonAtc7yc9HmvVQDAAbmEICZueYx3JBqUdO7Vgo/cQjD7AsRNLwfmEMQDtvII94vto0MXjbkfDjvcquBI5RebyOPeHUP0Eji7+RyyotlA9AzU4xMsti0R3EoU+FUw20SnyAvYGQfUSpHmTYDc0gup/iebK26bult6Xm0CXh+9E+Sl9CBi7Drc0U/iN1xw3XXke4wv98tlndk6bYiL5HLaWX8mPxgxKvmh5M72Ny/jgDgg7fENnOCxMA2cwDCMKN/vQXgRYyqRWocg16jAxcduBj7+UKnbqDjWGJnTu5QQpOmKQC2sakUgsQgSXPM0Zj5zZzbXwqPLSXx3k/Qgbt3ZIa7jAEQWVSdS1+Zsvvrm+GIby6vkPvH/GHO199ectX/i67+zNsrUOIT/e9+Qnz/M0L/Q/T0RPLnH7wZ/ojOntgkl8jhW2RX8/nvTyTbf387bFGW8AgooelLE2XaoHN01kh0ess7OeVBaBBFtFINsMZLhknMQ6BJs7A9B0romiBNDdpqKF7do4DZXBYJ3pf3wHKYm2sileMuYxyi3TrSncpAqsUrI2GYVRHkclrkxz2qqKPeKb+lirHUMyiJw2b3qpPbIGyPQZPsBMJEEaXFCSs46uTSe8s6bMxoVGyDDlwm133ciWJy3T9rwHF6WPv8wL5Mm0rv/RUyvSUMMxb7ijWVgTvv4S1fmMzeAWCYRVTK3Le0XrNNYm7mh17ott67s8muJPW9HmIcH2RLVR3n6KJitlHxfggOOSx5azkoo/E9WSdtoHl0pKlBT4ds/EWNHKAalPfrOWIAd6KqcZLmNVnbbtQMnGU+gS/92vwHxn9Yx2F5NgsAAAAASUVORK5CYII=","https://www.supermajor.gg/melee/player/SFAT?id=S1019"
"8",8,2016,8,"Westballz","Westballz",90.31,0,"Falco",31,7,5,0.836820083682008,0.669724770642202,0.694444444444444,73,33.3835616438356,16.4444444444444,10.8666666666667,7,0,15,"GCC",8.14285714285714,67,32.6417910447761,0.656862745098039,35,18.7428571428571,16,0.1875,63,0.619047619047619,10.5,2,0,4,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAACp0lEQVRIia2VLZDaQBiGHzqI4BKXyMjF7TkikeDA9STycFQikT2HRbaOc4lEJo44VkYmjjjiqFg2JHDc9ab9ZjKzf3n2/b68m+3wn0KIwdm0lUo6pv3tX2GmL+Uc2xvfrf3yBgZmNjF9vz+iLyZ367tfVS3lnJ4jkXIOUMNvYzBcncs8pHM384HqniPv5lzPq9tFnhPvZn+fQVP1s79GJFfY0p3izCaUl76dVJyOaf0dfNcnTdePNzCqAVbFliTKSMgAGDwFPPtrInTNrUK/03MkPuD3RxR5/jgDIQZn2xszjhYMnoJ6fGtpvdtDhOVu8AqoXP2AhYsHl5KdjunnJTKR7GO2Vsm0suux8GaN2cTKKgCyQmf70KbeYQXAj0PE9/yNbbbDfvHrLHqOrGEmrKyiyHOKPKfMQ5RKOg83MGqVI5nH2j3xTjGtbMLRq1btW+0sfKvlKiEG51aJbk/oyvMBCKY+v4E+FuHo9V27WgWUcVb3pZxfXWTAu02AK6cAFOkWO4wvy31E4rF09dzpmOL3R1QNOOgzYdxjoiPE4LzbBOzDmNHy9f16XaJItxokp8xjSfWW1dAm3DiodQ4+ghswwD6MIYypyo2eu0CzQ0TPkTXcRNcoegTdhzHxTqEajsn7S3xXgwz0Fp4VGUolna6BNWvfBAO8lQIc/aK4UWigp2Naez+YLfCAMg/bLirSbQtcq77AJ7YimEhWSTvbJtjETCgiGic5Wi3uwY2Y2IpgKAD9I2uCDXwm1N17XYD1YoPKKpTxt3O3jmAoeBprt7XGL6pv4RslrhuYGjfv0mYIMTg/jfVP71c2b5XkPdXT55drBo+gTfjPiXZatFqQFc5DeBNsuJ9eOBNbAaL+RmXJ3eW+UYJoNWyBTTxUf/tfair7aO527A8JD16Rx9jecQAAAABJRU5ErkJggg==","https://www.supermajor.gg/melee/player/Westballz?id=S1008"
"9",9,2016,9,"Axe","Axe",89.69,0,"Pikachu",14,6,5,0.801801801801802,0.666666666666667,0.733333333333333,44,30.7954545454545,12.5454545454545,12.6428571428571,9,0,14,"GCC",8.61538461538461,41,33.9512195121951,0.661290322580645,21,13.5714285714286,17,0.294117647058824,34,0.5,24.75,1,0,4,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAACLElEQVRIia2WoXPiQBSHPzKdG9RNcDtThdy6XBVIikIWFyTyKvsnpO5kK5HE9eTJSHCHayQqM+uIRCUndpNsyDJ3HP3NMEvI5n1vf+/tht50eo+toshKAM+77fEJ8uyLr1+y0u+D329AnwqoNB9fH7gosrIosrIFyI86eDBTVwf3+/p7ZwXBTCEDWE7+zyY7uBMghw3o2uBOQA0KLit2UWTlZDQgilSrhh1AugdyYK/rUUHsz7nMH+cpMtCrz4+61W+c6RwgTfTEYNa+tfslWCVtiN+HKNK1q+ZUcgMGIOdtYCUZKsKwOx/fOLCDVdJs1BpQFFm5nDRFrh6ADfiOjZE7rn34+S5bGblrUGtzZrQTsJ7dQbI9tI4Zr8p+JBSrBGSwsSBja9xY1w7IAZ6eRecMq1dwd6cL8/DweJKXBTHd1bHHNIVLXpV9MFOMhP5Ix/LJjX3DDfOFIN25A57qBiCKgEEz2l1TKd1rC3z/lfwI6x8Qrf8OaBd5SO1r/CK0HUbSh5FQ5Ln2YjG5YAVpctL3QwhDpYHWb4tnWPzWZ5RcXgColUP8Jvj4UDyNQ8T3uHVbBkDQzAVqO3dK4JJX37R8j1IQqxi+OZ7IQb2FMAG1brb06lwXed5tb5WYNjsYawC1DOG9G5yDgdOMcSxMsO57vDed3tdH8muokHbxqjPmxA5MveK5tnOruhusBYDm3F8aQCAMbGDNtjbUOoGtOp95B1Dpktfkv/y1+QPOGPtmS/bNBAAAAABJRU5ErkJggg==","https://www.supermajor.gg/melee/player/Axe?id=S16342"
"10",10,2016,10,"Shroomed","Shroomed",89.17,0,"Sheik",18,12,5,0.728070175438597,0.55,0.67741935483871,33,40.5151515151515,10.6296296296296,8.76923076923077,6,0,13,"GCC",8.08333333333333,34,34.1176470588235,0.548387096774194,28,16.3214285714286,16,0.3125,35,0.428571428571429,11.8,1,0,5,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAACxUlEQVRIiZ2WoXPbMBTGf8ntcoY2i6GG6jJ7pC702MZaOOix0f4JG2vh2AITtrCW1bBmNrPZBGtms/lGNKBIsRu7u9tHJFlP3/fe05Pkhff2HXM4u7hQdV7MzhssFn8Wc3Nv/kUuhI+z9jk/DwCoqtr2iywDQMpnNSey/B/yUAgA0jQlShKE8FFqpSajm0qRUis1JDeEpZS277geAH3XUkrJz812MlUnEcyRO65HHEZEYYDjepyLtRWtqpogjiajmNyDac9123fCtgChEFRVTd88T1FNC5x6rtMRh9pzE0FR1ta+ApCnIpMCVVUfCCNNcEjHEIY8aD8RuMAlyKbjRsajihoJKLVSmyTnq/QpDiGHQlDJMXnftQCkQQo4OOJcf7+suLnWPEbEVpFSK9X+yOm99XGBrHDaxhJ/b+5t/8v648gW9xG691BkeJ9jW1HLOXLcR5zwGaJkROq4HmmQjm2HiBJuRW4ranl2caGAU29Ae3RYtN/Bfgfe/hKnbU5tB/3rK6zIss4LNkk+Tw5k2+N95IYu+x1QZGPPB/ZDLAGSUOcb95G+9KF7r8doouu7gDSLRwv3uwHxwam+9E+ERye5L33dGnJg8+04n2Yxct+RZjGtHNtRZKOC8PQxOpbpcNKibbiRMbcinwy/f2pw2obe83GArh4slS8iMJPDdr+D9kdOn94jrlzr2SbJ7bj31tPOMYggK/U+DMmzUvdz/xdfEgG05Il2Kw4Em4ecSF5aouGaVsKN1GdhuVj8WaRZTFYeDQySUJMZxIGgkg2bB52yAvdVcnhxkkGHb/N49UT6YVw9Bnkt+Z1FRHQAiDu9V0NymyLQ76pSK9VK+M4VAM52S9+1o/vfoJINAvi512Mh/BPyUQQGJpIg1jfp3D1vECX6Kpl70SafTCNkRKZg3ozt/QN1Xsz+WcwKGJFX3Tckr/y2/AVgCHmc1Tx7LQAAAABJRU5ErkJggg==","https://www.supermajor.gg/melee/player/Shroomed?id=S1013"
"11",11,2016,11,"Swedish Delight","Swedish Delight",88.78,20,"Sheik",14,7,4,0.785123966942149,0.593220338983051,0.735849056603774,35,42.7428571428571,13.7083333333333,10,4,0,10,"GCC",7.44444444444444,31,36.741935483871,0.563636363636364,24,13.125,21,0.380952380952381,28,0.428571428571429,14.2,1,0,5,1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAACxUlEQVRIiZ2WoXPbMBTGf8ntcoY2i6GG6jJ7pC702MZaOOix0f4JG2vh2AITtrCW1bBmNrPZBGtms/lGNKBIsRu7u9tHJFlP3/fe05Pkhff2HXM4u7hQdV7MzhssFn8Wc3Nv/kUuhI+z9jk/DwCoqtr2iywDQMpnNSey/B/yUAgA0jQlShKE8FFqpSajm0qRUis1JDeEpZS277geAH3XUkrJz812MlUnEcyRO65HHEZEYYDjepyLtRWtqpogjiajmNyDac9123fCtgChEFRVTd88T1FNC5x6rtMRh9pzE0FR1ta+ApCnIpMCVVUfCCNNcEjHEIY8aD8RuMAlyKbjRsajihoJKLVSmyTnq/QpDiGHQlDJMXnftQCkQQo4OOJcf7+suLnWPEbEVpFSK9X+yOm99XGBrHDaxhJ/b+5t/8v648gW9xG691BkeJ9jW1HLOXLcR5zwGaJkROq4HmmQjm2HiBJuRW4ranl2caGAU29Ae3RYtN/Bfgfe/hKnbU5tB/3rK6zIss4LNkk+Tw5k2+N95IYu+x1QZGPPB/ZDLAGSUOcb95G+9KF7r8doouu7gDSLRwv3uwHxwam+9E+ERye5L33dGnJg8+04n2Yxct+RZjGtHNtRZKOC8PQxOpbpcNKibbiRMbcinwy/f2pw2obe83GArh4slS8iMJPDdr+D9kdOn94jrlzr2SbJ7bj31tPOMYggK/U+DMmzUvdz/xdfEgG05Il2Kw4Em4ecSF5aouGaVsKN1GdhuVj8WaRZTFYeDQySUJMZxIGgkg2bB52yAvdVcnhxkkGHb/N49UT6YVw9Bnkt+Z1FRHQAiDu9V0NymyLQ76pSK9VK+M4VAM52S9+1o/vfoJINAvi512Mh/BPyUQQGJpIg1jfp3D1vECX6Kpl70SafTCNkRKZg3ozt/QN1Xsz+WcwKGJFX3Tckr/y2/AVgCHmc1Tx7LQAAAABJRU5ErkJggg==","https://www.supermajor.gg/melee/player/Swedish%20Delight?id=S1055"
